Label 1,Label 2,Label 3,Label 4,Label 5
web_site,digital_clock,doormat,analog_clock,whistle
web_site,digital_clock,doormat,analog_clock,whistle
web_site,digital_clock,doormat,analog_clock,whistle
can_opener,dishwasher,letter_opener,cleaver,nipple
tripod,corkscrew,parachute,stopwatch,can_opener
cleaver,dishwasher,hatchet,spatula,milk_can
power_drill,assault_rifle,hatchet,revolver,cleaver
hatchet,cleaver,letter_opener,spatula,safety_pin
hatchet,cleaver,letter_opener,spatula,revolver
cleaver,spatula,letter_opener,dishwasher,hatchet
oil_filter,Petri_dish,pick,barn_spider,spatula
spider_web,barn_spider,black_and_gold_garden_spider,maze,garden_spider
hourglass,nipple,hatchet,safety_pin,can_opener
zebra,envelope,spider_web,wallet,bib
hatchet,screw,chain_saw,siamang,langur
spatula,cleaver,fire_screen,waffle_iron,hatchet
spider_web,barn_spider,envelope,puck,quill
electric_ray,hen-of-the-woods,cliff,grey_fox,sea_snake
aircraft_carrier,dam,sea_snake,submarine,wreck
indri,colobus,fox_squirrel,hen-of-the-woods,langur
electric_ray,horned_viper,sidewinder,banded_gecko,tailed_frog
gong,chime,pedestal,milk_can,whiskey_jug
isopod,chiton,sea_cucumber,crayfish,lionfish
starfish,African_crocodile,loggerhead,coral_reef,sandbar
valley,coral_reef,promontory,alp,sea_snake
platypus,fox_squirrel,rock_beauty,cardoon,chiton
gar,nematode,eel,sea_snake,common_newt
cliff_dwelling,triceratops,sturgeon,megalith,monastery
fox_squirrel,cardoon,langur,kit_fox,guenon
grey_fox,armadillo,dhole,hog,tusker
steel_arch_bridge,nematode,tripod,black_grouse,curly-coated_retriever
worm_fence,Great_Dane,hog,German_short-haired_pointer,thresher
rock_python,fox_squirrel,frilled_lizard,nematode,whiptail
fox_squirrel,grey_fox,wood_rabbit,komondor,sidewinder
fox_squirrel,wood_rabbit,lynx,sidewinder,snow_leopard
fox_squirrel,porcupine,black_grouse,brambling,plastic_bag
theater_curtain,moving_van,mobile_home,tobacco_shop,solar_dish
fire_screen,abaya,stove,bearskin,overskirt
fire_screen,entertainment_center,plate_rack,chiffonier,stove
panpipe,tobacco_shop,theater_curtain,plate_rack,upright
grey_fox,fox_squirrel,dhole,badger,skunk
skunk,mountain_tent,canoe,badger,mobile_home
fox_squirrel,black_stork,platypus,patas,limpkin
bow,trimaran,yawl,broom,catamaran
black_grouse,albatross,red-breasted_merganser,ptarmigan,Arctic_fox
dugong,black-and-tan_coonhound,hippopotamus,Doberman,EntleBucher
fox_squirrel,mink,polecat,weasel,baboon
Kerry_blue_terrier,komondor,worm_fence,German_short-haired_pointer,curly-coated_retriever
worm_fence,croquet_ball,EntleBucher,megalith,komondor
jaguar,fox_squirrel,tiger,leopard,ruffed_grouse
fox_squirrel,cardoon,platypus,black_grouse,valley
fox_squirrel,Madagascar_cat,bluetick,German_short-haired_pointer,platypus
fox_squirrel,platypus,wood_rabbit,hen-of-the-woods,black-and-tan_coonhound
snow_leopard,leopard,fox_squirrel,tiger,jaguar
worm_fence,plastic_bag,milk_can,steel_arch_bridge,fox_squirrel
tripod,drilling_platform,maypole,steel_arch_bridge,worm_fence
leopard,jaguar,cheetah,German_short-haired_pointer,komondor
worm_fence,park_bench,snowplow,maypole,fox_squirrel
fox_squirrel,komondor,gong,hatchet,Walker_hound
gong,chime,whiskey_jug,dugong,earthstar
grey_fox,dhole,hatchet,fox_squirrel,sidewinder
hatchet,mortar,sidewinder,ashcan,thatch
safety_pin,fox_squirrel,screen,bluetick,bolo_tie
beaver,hen-of-the-woods,earthstar,syringe,echidna
porcupine,echidna,armadillo,sidewinder,gyromitra
fox_squirrel,German_short-haired_pointer,three-toed_sloth,bluetick,grey_fox
fox_squirrel,redbone,Brabancon_griffon,mongoose,gyromitra
fox_squirrel,gyromitra,German_short-haired_pointer,hen-of-the-woods,bluetick
worm_fence,park_bench,mobile_home,tusker,snowplow
gyromitra,hen-of-the-woods,wood_rabbit,fox_squirrel,whiptail
Mexican_hairless,Windsor_tie,overskirt,redbone,sorrel
cleaver,crate,spatula,panpipe,hatchet
wardrobe,shoji,crate,chiffonier,plate_rack
Windsor_tie,redbone,panpipe,plane,milk_can
dishwasher,microwave,desk,file,upright
chiffonier,bulletproof_vest,fire_screen,file,dishwasher
Dandie_Dinmont,Sealyham_terrier,studio_couch,hen-of-the-woods,komondor
hartebeest,black_grouse,fox_squirrel,grey_fox,coyote
hen-of-the-woods,fox_squirrel,tailed_frog,nematode,wood_rabbit
hartebeest,black_grouse,fox_squirrel,coyote,impala
limpkin,Indian_cobra,fox_squirrel,vine_snake,hen-of-the-woods
German_short-haired_pointer,bluetick,gazelle,black_stork,wood_rabbit
fox_squirrel,worm_fence,black_grouse,porcupine,hartebeest
fox_squirrel,fire_screen,prison,monastery,Walker_hound
fox_squirrel,indri,tusker,affenpinscher,spider_monkey
komondor,German_short-haired_pointer,fox_squirrel,bluetick,gong
tusker,African_elephant,fire_screen,overskirt,bulletproof_vest
Sealyham_terrier,Persian_cat,Dandie_Dinmont,Japanese_spaniel,Angora
Arctic_fox,Sealyham_terrier,geyser,dugong,fox_squirrel
dugong,grey_whale,electric_ray,ice_bear,seashore
fox_squirrel,wood_rabbit,grey_fox,kit_fox,coyote
envelope,can_opener,hair_slide,whistle,letter_opener
worm_fence,snowplow,mobile_home,park_bench,thresher
African_elephant,tusker,dugong,Indian_elephant,affenpinscher
fire_screen,screen,milk_can,yurt,mobile_home
red-breasted_merganser,grey_whale,speedboat,lakeside,otter
letter_opener,hatchet,nematode,Petri_dish,velvet
seashore,grey_whale,promontory,lakeside,volcano
gong,fox_squirrel,dishwasher,chain_mail,komondor
fire_screen,black_grouse,velvet,nematode,hartebeest
black_grouse,fox_squirrel,worm_fence,grey_fox,nematode
barn_spider,vase,fire_screen,overskirt,safety_pin
worm_fence,hartebeest,tusker,black_grouse,tripod
whiptail,bow,barn_spider,ground_beetle,harvestman
isopod,long-horned_beetle,barn_spider,harvestman,tick
snowmobile,dogsled,ski_mask,drilling_platform,mountain_tent
grey_whale,fox_squirrel,milk_can,cloak,Walker_hound
fire_screen,Bedlington_terrier,gong,fox_squirrel,komondor
electric_ray,fox_squirrel,redbone,sidewinder,grey_fox
kelpie,dhole,German_short-haired_pointer,patas,black_stork
black_grouse,Arctic_fox,partridge,fox_squirrel,tusker
tusker,African_elephant,Indian_elephant,worm_fence,moving_van
Irish_water_spaniel,curly-coated_retriever,fox_squirrel,Kerry_blue_terrier,affenpinscher
geyser,letter_opener,dugong,space_shuttle,whistle
affenpinscher,alp,Tibetan_terrier,Newfoundland,monastery
gong,dugong,chime,pick,consomme
croquet_ball,dugong,EntleBucher,worm_fence,golf_ball
German_short-haired_pointer,fox_squirrel,worm_fence,EntleBucher,patas
limpkin,fox_squirrel,black_stork,gazelle,lion
screen,television,monitor,fire_screen,window_screen
fire_screen,pedestal,yawl,viaduct,trimaran
mobile_home,moving_van,passenger_car,recreational_vehicle,fire_screen
yawl,trimaran,catamaran,fire_screen,king_penguin
pedestal,fire_screen,scabbard,worm_fence,yawl
snowplow,worm_fence,black_grouse,mobile_home,moving_van
redbone,hartebeest,Doberman,sorrel,vizsla
komondor,Irish_water_spaniel,affenpinscher,gong,fox_squirrel
geyser,dugong,whistle,letter_opener,albatross
letter_opener,spatula,dishwasher,grey_whale,ballpoint
ox,bison,curly-coated_retriever,fox_squirrel,tusker
fox_squirrel,Irish_water_spaniel,affenpinscher,Sussex_spaniel,beaver
black_grouse,curly-coated_retriever,hartebeest,German_short-haired_pointer,EntleBucher
croquet_ball,golf_ball,German_short-haired_pointer,hare,fox_squirrel
worm_fence,mobile_home,curly-coated_retriever,park_bench,steel_arch_bridge
worm_fence,Great_Dane,Mexican_hairless,black-and-tan_coonhound,fire_screen
hartebeest,gazelle,black_stork,worm_fence,German_short-haired_pointer
worm_fence,dhole,black_stork,megalith,gazelle
cardoon,fox_squirrel,limpkin,hen-of-the-woods,three-toed_sloth
envelope,can_opener,hair_slide,whistle,letter_opener
letter_opener,ballpoint,hair_slide,corkscrew,can_opener
steel_arch_bridge,solar_dish,fox_squirrel,mink,worm_fence
water_tower,steel_arch_bridge,worm_fence,trimaran,yawl
yawl,schooner,pirate,planetarium,killer_whale
mobile_home,moving_van,thresher,passenger_car,fire_screen
affenpinscher,dishwasher,milk_can,amphibian,platypus
grey_whale,Bouvier_des_Flandres,Kerry_blue_terrier,standard_poodle,velvet
gong,brown_bear,otterhound,lion,Norfolk_terrier
safety_pin,plate_rack,nail,nematode,hair_slide
worm_fence,lakeside,mobile_home,boathouse,moving_van
fire_screen,window_screen,rotisserie,microwave,tobacco_shop
fire_screen,moving_van,stove,guillotine,cassette_player
bow,golfcart,worm_fence,assault_rifle,lawn_mower
overskirt,hoopskirt,velvet,head_cabbage,cloak
worm_fence,patio,mobile_home,pedestal,yurt
dishwasher,milk_can,bulletproof_vest,screen,oil_filter
fox_squirrel,porcupine,plastic_bag,maypole,brambling
yurt,worm_fence,groenendael,American_black_bear,EntleBucher
flagpole,Indian_elephant,fire_screen,binder,yawl
fox_squirrel,worm_fence,black_grouse,patas,guenon
komondor,otterhound,three-toed_sloth,dugong,Sussex_spaniel
face_powder,whiskey_jug,milk_can,loupe,caldron
bulletproof_vest,worm_fence,fox_squirrel,monastery,milk_can
worm_fence,monastery,tusker,pedestal,fox_squirrel
fire_screen,worm_fence,prison,pot,fox_squirrel
fox_squirrel,German_short-haired_pointer,worm_fence,wood_rabbit,grey_fox
grey_whale,Kerry_blue_terrier,platypus,fox_squirrel,curly-coated_retriever
dishwasher,cleaver,letter_opener,envelope,whistle
envelope,can_opener,cleaver,whistle,corkscrew
envelope,web_site,comic_book,jigsaw_puzzle,book_jacket
web_site,envelope,bathing_cap,book_jacket,face_powder
envelope,can_opener,hair_slide,letter_opener,whistle
envelope,web_site,cleaver,can_opener,hook
envelope,can_opener,hair_slide,whistle,letter_opener
sunscreen,face_powder,web_site,moving_van,lotion
oil_filter,milk_can,dishwasher,whiskey_jug,oboe
puck,magnetic_compass,buckle,matchstick,coffee_mug
stopwatch,analog_clock,barometer,combination_lock,magnetic_compass
can_opener,envelope,hatchet,letter_opener,cleaver
loupe,puck,folding_chair,plate_rack,neck_brace
envelope,can_opener,hair_slide,letter_opener,whistle
envelope,web_site,cleaver,can_opener,hook
envelope,can_opener,hair_slide,whistle,letter_opener
sunscreen,face_powder,web_site,moving_van,lotion
shovel,barrow,ski,mailbox,bannister
handkerchief,packet,cliff,African_chameleon,mosquito_net
alp,cliff,valley,volcano,promontory
cliff,valley,alp,book_jacket,promontory
jigsaw_puzzle,prayer_rug,doormat,envelope,honeycomb
valley,alp,seashore,cliff,promontory
valley,leatherback_turtle,coral_reef,water_snake,loggerhead
valley,alp,cliff,promontory,broccoli
alp,coral_reef,valley,wreck,wing
